"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Indicateurs";"Caractéristiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356670";"1.1.1.1.1";"24607300";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356671";"1.1.1.1.2";"24404700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356672";"1.1.1.1.3";"24774300";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356673";"1.1.1.1.4";"82.2";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356674";"1.1.1.1.5";"81.6";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, aucun besoin";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356675";"1.1.1.1.6";"82.7";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356677";"1.1.1.2.1";"3000500";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356678";"1.1.1.2.2";"2891500";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356679";"1.1.1.2.3";"3136700";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356680";"1.1.1.2.4";"10.0";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356681";"1.1.1.2.5";"9.6";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, tous les besoins satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356682";"1.1.1.2.6";"10.4";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356684";"1.1.1.3.1";"2341200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356685";"1.1.1.3.2";"2222600";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356686";"1.1.1.3.3";"2468900";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356687";"1.1.1.3.4";"7.8";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356688";"1.1.1.3.5";"7.4";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"Besoin perçu de soin de santé mentale, besoins partiellement satisfaits ou besoins non satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, pourcentage";"Pourcent";"239";"unités";"0";"v1066356689";"1.1.1.3.6";"8.2";"";"";"";"1"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Nombre de personnes";"Nombre";"223";"unités";"0";"v1066356691";"1.1.1.4.1";"1195900";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite inférieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356692";"1.1.1.4.2";"1115200";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Limite supérieure de l'intervalle de confiance de 95 %, nombre de personnes";"Nombre";"223";"unités";"0";"v1066356693";"1.1.1.4.3";"1293000";"";"";"";"0"
"2018";"Canada (sauf les territoires)";"";"Total, 12 ans et plus";"Les deux sexes";"     Besoin perçu de soin de santé mentale, besoins partiellement satisfaits";"Pourcentage";"Pourcent";"239";"unités";"0";"v1066356694";"1.1.1.4.4";"4.0";"";"";"";"1"
