Date;FREQUENCY;Cases;ObjectId2;Recovered;DailyRecovered;TotalDeaths;DailyDeaths;TotalTested;DailyTested;TotalActive;DailyActive;TotalHospitalized;DailyHospitalized;TotalICU;DailyICU;TotalVaccinated;DailyVaccinated
25/01/2020;1;1;1;0;0;0;0;0;0;1;1;;;;;;
26/01/2020;0;1;2;0;0;0;0;0;0;1;0;;;;;;
27/01/2020;1;2;3;0;0;0;0;0;0;2;1;;;;;;
28/01/2020;1;3;4;0;0;0;0;0;0;3;1;;;;;;
29/01/2020;0;3;5;0;0;0;0;0;0;3;0;;;;;;
30/01/2020;0;3;6;0;0;0;0;0;0;3;0;;;;;;
31/01/2020;1;4;7;0;0;0;0;0;0;4;1;;;;;;
01/02/2020;0;4;8;0;0;0;0;0;0;4;0;;;;;;
02/02/2020;0;4;9;0;0;0;0;0;0;4;0;;;;;;
03/02/2020;0;4;10;0;0;0;0;0;0;4;0;;;;;;
04/02/2020;1;5;11;0;0;0;0;0;0;5;1;;;;;;
05/02/2020;0;5;12;0;0;0;0;0;0;5;0;;;;;;
06/02/2020;2;7;13;0;0;0;0;0;0;7;2;;;;;;
07/02/2020;0;7;14;0;0;0;0;0;0;7;0;;;;;;
08/02/2020;0;7;15;0;0;0;0;0;0;7;0;;;;;;
09/02/2020;0;7;16;0;0;0;0;0;0;7;0;;;;;;
10/02/2020;0;7;17;0;0;0;0;0;0;7;0;;;;;;
11/02/2020;0;7;18;0;0;0;0;0;0;7;0;;;;;;
12/02/2020;0;7;19;1;1;0;0;0;0;6;0;;;;;;
13/02/2020;0;7;20;1;0;0;0;0;0;6;0;;;;;;
14/02/2020;1;8;21;1;0;0;0;0;0;7;1;;;;;;
15/02/2020;0;8;22;1;0;0;0;0;0;7;0;;;;;;
16/02/2020;0;8;23;1;0;0;0;0;0;7;0;;;;;;
17/02/2020;0;8;24;1;0;0;0;0;0;7;0;;;;;;
18/02/2020;0;8;25;1;0;0;0;0;0;7;0;;;;;;
19/02/2020;0;8;26;2;1;0;0;0;0;6;0;;;;;;
20/02/2020;1;9;27;3;1;0;0;0;0;6;1;;;;;;
21/02/2020;0;9;28;4;1;0;0;0;0;5;0;;;;;;
