FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
1;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1044;N;Sooke Fire Dept Hall 1;2225 Otter Point Rd, Sooke, BC;2225 Otter Point Rd, Sooke, BC;2225 Otter Point Rd;Sooke;48.3825053;-123.731727;fire;-123.731743045739;48.3825108028488
2;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1048;N;North Sooke Fire Dept Hall 2;2011 Goodridge Rd, Sooke, BC;2011 Goodridge Rd, Sooke, BC;2011 Goodridge Rd;Sooke;48.3908457;-123.662971;fire;-123.662987033991;48.3908512028164
3;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1083;N;Port Renfrew Vol Fire Dept;6637 Deering Rd, Port Renfrew, BC;6637 Deering Rd, Port Renfrew, BC;6637 Deering Rd;Port Renfrew;48.5574574;-124.399803;fire;-124.399819317832;48.5574628209089
4;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1086;N;Malahat Vol Fire Dept;935 Whittaker Rd, Malahat, BC;935 Whittaker Rd, Malahat, BC;935 Whittaker Rd;Malahat;48.5747184;-123.567126;fire;-123.567141670085;48.5747239752787
5;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1101;N;Mill Bay Vol Fire Dept Hall 2;1171 Hutchinson Rd, Cobble Hill, BC;1171 Hutchinson Rd, Cobble Hill, BC;1171 Hutchinson Rd;Cobble Hill;48.6867239;-123.584581;fire;-123.584597192054;48.6867294481131
6;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1110;N;North Cowichan South End Fire Dept;5851 Duncan St, Duncan, BC;5851 Duncan St, Duncan, BC;5851 Duncan St;Duncan;48.7833107;-123.707637;fire;-123.707652927059;48.7833162051902
7;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1121;N;Bamfield East Side Fire Dept;352 Pachena Rd, Bamfield, BC;352 Pachena Rd, Bamfield, BC;352 Pachena Rd;Bamfield;48.8276944;-125.132878;fire;-125.132893873058;48.8276997980271
8;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1134;N;Stn 103 Ganges;275 PARK DR, Salt Spring Island, BC;275 PARK DR, Salt Spring Island, BC;275 PARK DR;Salt Spring Island;48.8589472;-123.510544;ambulance;-123.510559784618;48.8589527136021
9;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1139;N;Galiano Island RCMP;33 Manzanita Rd, Galiano Island, BC;33 Manzanita Rd, Galiano Island, BC;33 Manzanita Rd;Galiano Island;48.8790152;-123.31998;police;-123.319995398838;48.8790208164521
10;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1142;N;Ucluelet First Nation Fire Station;475 Waayi Rd, Port Albion, BC;475 Waayi Rd, Port Albion, BC;475 Waayi Rd;Port Albion;48.9387457;-125.525787;fire;-125.525803420815;48.9387510133393
