FID;nom_servic;no_cvq;rue;ville;cp;en_caserne;Y;X
1;Service de securité incendie Les Îles-de-la-Madeleine;13;Chemin Errol;Grosse-Île;G4T6C5;0;-61.4719317616574;47.6167667131604
2;Service de securité incendie Les Îles-de-la-Madeleine;280;Chemin du Bassin;Les Îles-de-la-Madeleine;G4T0B5;0;-61.9139546810777;47.2332765236112
3;Service de securité incendie Les Îles-de-la-Madeleine;290;Chemin de Gros-Cap;Les Îles-de-la-Madeleine;G4T1L1;0;-61.8741679479024;47.3737465028943
4;Service de securité incendie Percé; ;2e Rang;Percé;G0C1G0;0;-64.3360642900462;48.4762704845575
5;Service de securité incendie Percé; ;Route 132 Ouest;Percé;G0C2L0;0;-64.2141083463684;48.5292144642754
6;Service de securité incendie Percé; ;Route 132 Est;Percé;G0C1A0;0;-64.2766222038746;48.6177632205935
7;Service de securité incendie Chandler;35;Rue Commerciale Ouest;Chandler;G0C1K0;0;-64.6783416919794;48.3487320258447
8;Service de securité incendie Chandler; ;Route 132 (Newport);Chandler;G0C2A0;0;-64.7428920370651;48.2755756516169
9;Service de securité incendie Port-Daniel--Gascons; ;Route 132;Port-Daniel--Gascons;G0C2N0;0;-64.9737268853852;48.174620297386
10;Service de securité incendie Gaspé;14;Rue de l'Entrepôt;Gaspé;G4X5L4;0;-64.375271740208;48.9922296091307
11;Service de securité incendie Gaspé;588;Boulevard de Forillon;Gaspé;G4X6T8;0;-64.4785151925635;48.8672380342913
12;Service de securité incendie Gaspé;148;Boulevard de Gaspé;Gaspé;G4X1A9;0;-64.4864830291487;48.8414468605638
13;Service de securité incendie Gaspé;60;Rue de l'Aéroport;Gaspé;G4X2K2;0;-64.4775472037385;48.7760557971536
14;Service de securité incendie Gaspé;4;Avenue Saint-Patrick;Gaspé;G4X2Y2;0;-64.3853942133393;48.7633165660346
15;Service de securité incendie Gaspé;1252;Boulevard de Cap-des-Rosiers;Gaspé;G4X6H1;0;-64.2110614140465;48.8645687995807
16;Service de securité incendie Gaspé; ;Chemin de l'Église;Gaspé;G4X4B3;0;-64.4758859260657;49.0517001957519
