X,Y,TYPEINCIDENT,DESCRIPTION,DATEINCIDENT,ANNEE,OBJECTID
-8020606.0479,5669577.0597,1,Accident avec blessés,2021/12/11 05:00:00+00,2021,1
-8026346.4148,5669483.5479,1,Accident avec blessés,2022/05/16 04:00:00+00,2022,2
-8024881.5924,5669754.3368,1,Accident avec blessés,2021/08/12 04:00:00+00,2021,3
-8026273.3342,5669855.3188,1,Accident avec blessés,2019/08/02 04:00:00+00,2019,4
-8024517.3958,5670106.8425,1,Accident avec blessés,2020/03/02 05:00:00+00,2020,5
-8016423.5197,5670383.1216,1,Accident avec blessés,2019/10/23 04:00:00+00,2019,6
-8024583.6643,5670230.3913,1,Accident avec blessés,2022/04/13 04:00:00+00,2022,7
-8016143.3709,5670472.4067,1,Accident avec blessés,2021/03/14 05:00:00+00,2021,8
-8010908.1929,5670747.9674,1,Accident avec blessés,2020/11/24 05:00:00+00,2020,9
-8024035.582,5670573.983,1,Accident avec blessés,2020/01/11 05:00:00+00,2020,10
-8023819.556,5670783.6419,1,Accident avec blessés,2022/06/19 04:00:00+00,2022,11
-8023819.556,5670783.6419,1,Accident avec blessés,2022/05/30 04:00:00+00,2022,12
-8014418.944,5671190.4824,1,Accident avec blessés,2020/03/12 04:00:00+00,2020,13
-8014565.1823,5671114.9367,1,Accident avec blessés,2021/08/07 04:00:00+00,2021,14
-8020220.6075,5671013.9348,1,Accident avec blessés,2021/01/12 05:00:00+00,2021,15
-8023735.4349,5671033.6004,1,Accident avec blessés,2021/01/12 05:00:00+00,2021,16
-8014154.06,5671357.7381,1,Accident avec blessés,2020/10/07 04:00:00+00,2020,17
-8013829.2368,5671862.3559,1,Accident avec blessés,2020/01/13 05:00:00+00,2020,18
-8013829.2368,5671862.3559,1,Accident avec blessés,2019/09/24 04:00:00+00,2019,19
-8020005.7569,5671827.1045,1,Accident avec blessés,2021/10/01 04:00:00+00,2021,20
-8013662.547,5672345.4222,1,Accident avec blessés,2021/12/18 05:00:00+00,2021,21
-8011454.0173,5672466.2388,1,Accident avec blessés,2019/09/27 04:00:00+00,2019,22
-8020000.8592,5672381.4493,1,Accident avec blessés,2022/03/12 05:00:00+00,2022,23
-8022284.7574,5672438.8865,1,Accident avec blessés,2019/08/11 04:00:00+00,2019,24
-8024960.1567,5672512.3577,1,Accident avec blessés,2022/03/13 05:00:00+00,2022,25
-8024958.8509,5672686.5635,1,Accident avec blessés,2020/10/20 04:00:00+00,2020,26
-8011060.8411,5673135.1345,1,Accident avec blessés,2019/11/20 05:00:00+00,2019,27
-8021948.2728,5673007.8576,1,Accident avec blessés,2020/09/08 04:00:00+00,2020,28
-8021948.2728,5673007.8576,1,Accident avec blessés,2020/02/17 05:00:00+00,2020,29
-8024937.3531,5672982.1303,1,Accident avec blessés,2022/06/27 04:00:00+00,2022,30
-8010896.5788,5673457.2421,1,Accident avec blessés,2021/07/24 04:00:00+00,2021,31
-8021226.9325,5673415.7322,1,Accident avec blessés,2019/09/20 04:00:00+00,2019,32
-8020941.0695,5673860.8476,1,Accident avec blessés,2022/05/26 04:00:00+00,2022,33
-8012625.1402,5674075.3945,1,Accident avec blessés,2022/01/14 05:00:00+00,2022,34
-8020848.6367,5674106.0766,1,Accident avec blessés,2019/07/13 04:00:00+00,2019,35
-8020416.2085,5674174.8124,1,Accident avec blessés,2019/12/15 05:00:00+00,2019,36
-8012675.575,5674348.8587,1,Accident avec blessés,2022/03/08 05:00:00+00,2022,37
-8017184.6273,5674272.5009,1,Accident avec blessés,2019/08/24 04:00:00+00,2019,38
-8012695.7686,5674732.7065,1,Accident avec blessés,2020/10/15 04:00:00+00,2020,39
-8020663.9535,5674581.9018,1,Accident avec blessés,2019/10/12 04:00:00+00,2019,40
-8012030.1436,5674880.0507,1,Accident avec blessés,2019/12/14 05:00:00+00,2019,41
-8011646.0358,5675288.5125,1,Accident avec blessés,2021/05/30 04:00:00+00,2021,42
-8020311.0058,5675169.546,1,Accident avec blessés,2021/05/29 04:00:00+00,2021,43
-8020311.0058,5675169.546,1,Accident avec blessés,2019/09/04 04:00:00+00,2019,44
-8020311.0058,5675169.546,1,Accident avec blessés,2019/08/09 04:00:00+00,2019,45
-8011469.0932,5675435.90779999,1,Accident avec blessés,2022/05/30 04:00:00+00,2022,46
-8012742.113,5675519.6814,1,Accident avec blessés,2021/10/13 04:00:00+00,2021,47
-8019648.0744,5675430.5165,1,Accident avec blessés,2020/08/25 04:00:00+00,2020,48
-8020622.9276,5675499.9938,1,Accident avec blessés,2021/12/06 05:00:00+00,2021,49
-8019950.6769,5675505.2937,1,Accident avec blessés,2019/08/08 04:00:00+00,2019,50
-8012777.7207,5675662.6275,1,Accident avec blessés,2020/11/13 05:00:00+00,2020,51
-8019280.8319,5675611.9244,1,Accident avec blessés,2019/08/15 04:00:00+00,2019,52
-8019351.3096,5675754.7964,1,Accident avec blessés,2021/02/13 05:00:00+00,2021,53
-8013017.7283,5675890.2414,1,Accident avec blessés,2020/11/04 05:00:00+00,2020,54
-8014479.5204,5676001.237,1,Accident avec blessés,2021/01/22 05:00:00+00,2021,55
-7996726.053,5676358.9025,1,Accident avec blessés,2021/11/26 05:00:00+00,2021,56
-8014479.2121,5676054.8062,1,Accident avec blessés,2021/09/14 04:00:00+00,2021,57
-8013116.4937,5676229.0493,1,Accident avec blessés,2019/07/19 04:00:00+00,2019,58
-8018795.6702,5676174.2309,1,Accident avec blessés,2021/07/08 04:00:00+00,2021,59
-8018554.5187,5676356.9063,1,Accident avec blessés,2021/09/03 04:00:00+00,2021,60
-8009967.1776,5676633.4335,1,Accident avec blessés,2019/08/15 04:00:00+00,2019,61
-8014089.9777,5676560.4435,1,Accident avec blessés,2021/09/28 04:00:00+00,2021,62
-8009949.1979,5676665.058,1,Accident avec blessés,2019/12/19 05:00:00+00,2019,63
-8018153.225,5676571.7977,1,Accident avec blessés,2019/10/29 04:00:00+00,2019,64
-8008995.7873,5676738.9867,1,Accident avec blessés,2021/06/09 04:00:00+00,2021,65
-8007997.6369,5676771.1694,1,Accident avec blessés,2022/01/06 05:00:00+00,2022,66
-8013905.4525,5676731.8458,1,Accident avec blessés,2022/05/15 04:00:00+00,2022,67
-8012930.2878,5676766.0399,1,Accident avec blessés,2019/11/12 05:00:00+00,2019,68
-8016227.1882,5676788.5839,1,Accident avec blessés,2020/05/13 04:00:00+00,2020,69
-7996260.6186,5677202.5,1,Accident avec blessés,2020/01/07 05:00:00+00,2020,70
-8017961.2765,5676799.5623,1,Accident avec blessés,2019/09/26 04:00:00+00,2019,71
-8017797.8192,5676927.582,1,Accident avec blessés,2021/10/30 04:00:00+00,2021,72
-8024620.5146,5676788.297,1,Accident avec blessés,2019/12/17 05:00:00+00,2019,73
-8019730.217,5677025.1279,1,Accident avec blessés,2022/03/23 04:00:00+00,2022,74
-8018425.4275,5676862.4771,1,Accident avec blessés,2020/10/24 04:00:00+00,2020,75
-7999688.001,5677430.7256,1,Accident avec blessés,2019/12/17 05:00:00+00,2019,76
-8020601.5627,5677255.8724,1,Accident avec blessés,2019/12/21 05:00:00+00,2019,77
-8013552.5025,5677469.6458,1,Accident avec blessés,2022/06/28 04:00:00+00,2022,78
-8013552.5025,5677469.6458,1,Accident avec blessés,2021/07/05 04:00:00+00,2021,79
-7999492.8771,5677743.3413,1,Accident avec blessés,2021/06/02 04:00:00+00,2021,80
-8013614.8345,5677536.915,1,Accident avec blessés,2021/11/09 05:00:00+00,2021,81
-8013614.8345,5677536.915,1,Accident avec blessés,2019/07/31 04:00:00+00,2019,82
