FID;INSTAL_COD;INSTAL_NOM;INSTAL_N_1;ETAB_CODE;ETAB_NOM;ETAB_NOM_A;RSS_CODE;RSS_NOM;ADRESSE;CASE_POST;CODE_POSTA;TELEPHONE;MUN_CODE;MUN_NOM;CLSC_CODE;CLSC_NOM;MRC_CODE;MRC_NOM;RLS_CODE;RLS_NOM;RUIS_CODE;RUIS_NOM;STATUT_COD;MD_CONS_CO;MD_FINAN_C;DESIGN_MIN;INSTANCE;DATE_INCOR;DATE_OUVER;LONGITUDE;LATITUDE;CHPSY;CHSGS;CHSLD;CLSC;CPEJ;CRDITED;CRDPA;CRDPM;CRDPV;CRDPL;CRJDA;CRMDA;CRD;Y;X
1;11084464;CENTRE DE SOINS PROLONGES GRACE DART;CENTRE DE SOINS PROLONGES GRACE DART;11084464;Centre de soins prolongés Grace Dart;CENTRE DE SOINS PROLONGÉS GRACE DART;6;Montréal;5155, rue Sainte-Catherine Est; ;H1V2A5;(514) 255-2833;66023;Montréal;6533;Hochelaga-Maisonneuve;660;Montréal;653;RLS de Hochelaga - Mercier-Ouest - Rosemont;2;RUIS Université de Montréal;1;6;1; ;N;2007/04/04 00:00:00+00;1974/01/01 00:00:00+00;-73.528904;45.55946;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5289039993832;45.5594600003308
2;11097029;HOPITAL JUIF DE READAPTATION;HOPITAL JUIF DE READAPTATION;11097029;Hopital juif de readaptation;HOPITAL JUIF DE READAPTATION;13;Laval;3205, place alton-goldbloom; ;H7V1R2;(450) 688-9550;65005;Laval; ; ;650;Laval; ; ; ; ;1;6;1; ;N;2007/04/03 00:00:00+00;1974/02/13 00:00:00+00;-73.737641;45.54873;Non;Oui;Non;Non;Non;Non;Non;Oui;Non; ;Non;Non;Non;-73.7376410005128;45.5487299998211
3;11755501;CHSLD PROVIDENCE NOTRE-DAME DE LOURDES;CHSLD PROVIDENCE NOTRE-DAME DE LOURDES;11755501;CHSLD Providence Notre-Dame de Lourdes Inc.;CHSLD PROVIDENCE NOTRE-DAME DE LOURDES INC.;6;Montréal;1870, boulevard Pie-IX; ;H1V2C6;(514) 527-4595;66023;Montréal;6533;Hochelaga-Maisonneuve;660;Montréal;653;RLS de Hochelaga - Mercier-Ouest - Rosemont;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.540694;45.549784;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5406939995681;45.5497839997066
4;12114922;ATELIER LE FIL D'ARIANE;ATELIER LE FIL D'ARIANE;12114922;Atelier le fil d'Ariane Inc.;ATELIER LE FIL D'ARIANE INC.;6;Montréal;4837, rue Boyer, app. 100; ;H2J3E6;(514) 842-5592;66023;Montréal;6322;Plateau-Mont-Royal;660;Montréal;632;RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc;2;RUIS Université de Montréal;2;4;1; ;N;2010/02/24 00:00:00+00;1983/04/01 00:00:00+00;-73.583838;45.529451;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.5838379994499;45.5294510001294
5;12366043;C.H.S.L.D. BAYVIEW;C.H.S.L.D. BAYVIEW;12366043;CHSLD Bayview Inc.;CHSLD BAYVIEW INC.;6;Montréal;27, Lakeshore; ;H9S4H1;(514) 695-9384;66097;Pointe-Claire;6111;Lac Saint-Louis;660;Montréal;611;RLS de Pierrefonds - Lac Saint-Louis;3;RUIS Université McGill;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.786565;45.448645;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.7865649993801;45.4486449996071
6;12383907;RESIDENCE BERTHIAUME-DU TREMBLAY;RESIDENCE BERTHIAUME-DU TREMBLAY;12383907;Résidence Berthiaume-Du Tremblay;RÉSIDENCE BERTHIAUME-DU TREMBLAY;6;Montréal;1635, boulevard Gouin Est; ;H2C1C2;(514) 381-1841;66023;Montréal;6421;Ahuntsic;660;Montréal;642;RLS d'Ahuntsic - Montréal-Nord;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.663053;45.567418;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.663052999837;45.5674180004165
7;12387692;CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA;CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA;11045200;Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal;CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;5655, rue Bélanger; ;H1T1G2;(514) 259-2551;66023;Montréal;6531;Rosemont;660;Montréal;653;RLS de Hochelaga - Mercier-Ouest - Rosemont;2;RUIS Université de Montréal;1;2;1; ;N;;1974/01/01 00:00:00+00;-73.574335;45.581045;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.574334999759;45.5810449997698
8;12399820;LA CHAMPENOISE;LA CHAMPENOISE;12399820;La corporation Notre-Dame de Bon-Secours;LA CORPORATION NOTRE-DAME DE BON-SECOURS;3;Capitale-Nationale;990, rue Gérard-Morisset; ;G1S1X6;(418) 681-4637;23027;Québec;3124;Québec - Haute-Ville;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;2;4;6; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-71.256606;46.788067;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.256605999831;46.7880670004382
9;12431656;INSTITUT DE CARDIOLOGIE DE MONTRÉAL;INSTITUT DE CARDIOLOGIE DE MONTRÉAL;12431656;Institut de Cardiologie de Montréal;ICM;6;Montréal;5000, rue Bélanger; ;H1T1C8;(514) 376-3330;66023;Montréal;6531;Rosemont;660;Montréal;653;RLS de Hochelaga - Mercier-Ouest - Rosemont;2;RUIS Université de Montréal;1;4;1;2;N;;1974/01/01 00:00:00+00;-73.577817;45.573763;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.5778170000483;45.5737630002988
10;12452645;HÔPITAL MARIE-CLARAC;HÔPITAL MARIE-CLARAC;12452645;Hôpital Marie-Clarac des Soeurs de Charité de Ste-Marie (1995) Inc.;HÔP. MARIE-CLARAC DES SOEURS DE CHARITÉ DE STE-MARIE;6;Montréal;3530, boulevard Gouin Est; ;H1H1B7;(514) 321-8800;66023;Montréal;6422;Montréal-Nord;660;Montréal;642;RLS d'Ahuntsic - Montréal-Nord;2;RUIS Université de Montréal;2;1;2; ;N;2010/02/24 00:00:00+00;1974/01/01 00:00:00+00;-73.649742;45.590837;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.6497420001298;45.5908370004087
