REF_DATE;GEO;DGUID;Custodial admissions;Age group;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2000/2001;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2000/2001;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2000/2001;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2000/2001;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2000/2001;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2000/2001;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2000/2001;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2000/2001;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2001/2002;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2001/2002;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
2001/2002;Alberta;2016A000248;Sentenced;Total, custodial admissions by age group;Number;223;units;0;v80748931;10.2.1;;..;;;0
2001/2002;Alberta;2016A000248;Sentenced;Age unknown;Number;223;units;0;v80748940;10.2.10;;..;;;0
2001/2002;Alberta;2016A000248;Remand;Total, custodial admissions by age group;Number;223;units;0;v80748942;10.3.1;;..;;;0
2001/2002;Alberta;2016A000248;Remand;Age unknown;Number;223;units;0;v80748951;10.3.10;;..;;;0
2001/2002;Alberta;2016A000248;Other custodial statuses;Total, custodial admissions by age group;Number;223;units;0;v80748953;10.4.1;;..;;;0
2001/2002;Alberta;2016A000248;Other custodial statuses;Age unknown;Number;223;units;0;v80748962;10.4.10;;..;;;0
2002/2003;Alberta;2016A000248;Total, custodial admissions;Total, custodial admissions by age group;Number;223;units;0;v80748920;10.1.1;;..;;;0
2002/2003;Alberta;2016A000248;Total, custodial admissions;Age unknown;Number;223;units;0;v80748929;10.1.10;;..;;;0
