REF_DATE;GEO;DGUID;Custodial and community supervision;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1978/1979;Provinces and Territories;2016A000011124;Total actual-in count;Persons;249;units;0;v21536797;1.1;13479.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Sentenced, actual-in count;Persons;249;units;0;v21536798;1.2;10428.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Remand, actual-in count;Persons;249;units;0;v21536799;1.3;3030.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Other statuses, actual-in count;Persons;249;units;0;v21536800;1.4;21.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;On-register count;Persons;249;units;0;v21536801;1.5;2983.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536802;1.6;80.44;;;;2
1978/1979;Provinces and Territories;2016A000011124;Total community supervision count;Persons;249;units;0;v21536803;1.7;54639.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Probation, community supervision;Persons;249;units;0;v21536804;1.8;53937.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Conditional sentence, community supervision;Persons;249;units;0;v21536805;1.9;;..;;;1
1978/1979;Provinces and Territories;2016A000011124;Provincial parole, community supervision;Persons;249;units;0;v21536806;1.10;702.0;;;;1
1978/1979;Provinces and Territories;2016A000011124;Probation rates per 100,000 adults;Rate;257;units;0;v21536807;1.11;321.87;;;;2
1978/1979;Newfoundland and Labrador;2016A000210;Total actual-in count;Persons;249;units;0;v21536808;2.1;219.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Sentenced, actual-in count;Persons;249;units;0;v21536809;2.2;208.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Remand, actual-in count;Persons;249;units;0;v21536810;2.3;11.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Other statuses, actual-in count;Persons;249;units;0;v21536811;2.4;;..;;;1
1978/1979;Newfoundland and Labrador;2016A000210;On-register count;Persons;249;units;0;v21536812;2.5;239.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536813;2.6;62.99;;;;2
1978/1979;Newfoundland and Labrador;2016A000210;Total community supervision count;Persons;249;units;0;v21536814;2.7;285.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Probation, community supervision;Persons;249;units;0;v21536815;2.8;285.0;;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Conditional sentence, community supervision;Persons;249;units;0;v21536816;2.9;;..;;;1
1978/1979;Newfoundland and Labrador;2016A000210;Probation rates per 100,000 adults;Rate;257;units;0;v21536817;2.11;81.97;;;;2
1978/1979;Prince Edward Island;2016A000211;Total actual-in count;Persons;249;units;0;v21536818;3.1;55.0;;;;1
1978/1979;Prince Edward Island;2016A000211;Sentenced, actual-in count;Persons;249;units;0;v21536819;3.2;38.0;;;;1
1978/1979;Prince Edward Island;2016A000211;Remand, actual-in count;Persons;249;units;0;v21536820;3.3;10.0;;;;1
1978/1979;Prince Edward Island;2016A000211;Other statuses, actual-in count;Persons;249;units;0;v21536821;3.4;7.0;;;;1
1978/1979;Prince Edward Island;2016A000211;On-register count;Persons;249;units;0;v21536822;3.5;;..;;;1
1978/1979;Prince Edward Island;2016A000211;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536823;3.6;67.82;;;;2
1978/1979;Prince Edward Island;2016A000211;Total community supervision count;Persons;249;units;0;v21536824;3.7;210.0;;;;1
1978/1979;Prince Edward Island;2016A000211;Probation, community supervision;Persons;249;units;0;v21536825;3.8;210.0;;;;1
1978/1979;Prince Edward Island;2016A000211;Conditional sentence, community supervision;Persons;249;units;0;v21536826;3.9;;..;;;1
1978/1979;Prince Edward Island;2016A000211;Probation rates per 100,000 adults;Rate;257;units;0;v21536827;3.11;258.97;;;;2
1978/1979;Nova Scotia;2016A000212;Total actual-in count;Persons;249;units;0;v21536828;4.1;374.0;;;;1
1978/1979;Nova Scotia;2016A000212;Sentenced, actual-in count;Persons;249;units;0;v21536829;4.2;319.0;;;;1
1978/1979;Nova Scotia;2016A000212;Remand, actual-in count;Persons;249;units;0;v21536830;4.3;55.0;;;;1
1978/1979;Nova Scotia;2016A000212;Other statuses, actual-in count;Persons;249;units;0;v21536831;4.4;;..;;;1
1978/1979;Nova Scotia;2016A000212;On-register count;Persons;249;units;0;v21536832;4.5;;..;;;1
1978/1979;Nova Scotia;2016A000212;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536833;4.6;64.81;;;;2
1978/1979;Nova Scotia;2016A000212;Total community supervision count;Persons;249;units;0;v21536834;4.7;2525.0;;;;1
1978/1979;Nova Scotia;2016A000212;Probation, community supervision;Persons;249;units;0;v21536835;4.8;2525.0;;;;1
1978/1979;Nova Scotia;2016A000212;Conditional sentence, community supervision;Persons;249;units;0;v21536836;4.9;;..;;;1
1978/1979;Nova Scotia;2016A000212;Probation rates per 100,000 adults;Rate;257;units;0;v21536837;4.11;437.56;;;;2
1978/1979;New Brunswick;2016A000213;Total actual-in count;Persons;249;units;0;v21536838;5.1;308.0;;;;1
1978/1979;New Brunswick;2016A000213;Sentenced, actual-in count;Persons;249;units;0;v21536839;5.2;281.0;;;;1
1978/1979;New Brunswick;2016A000213;Remand, actual-in count;Persons;249;units;0;v21536840;5.3;24.0;;;;1
1978/1979;New Brunswick;2016A000213;Other statuses, actual-in count;Persons;249;units;0;v21536841;5.4;3.0;;;;1
1978/1979;New Brunswick;2016A000213;On-register count;Persons;249;units;0;v21536842;5.5;344.0;;;;1
1978/1979;New Brunswick;2016A000213;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536843;5.6;66.03;;;;2
1978/1979;New Brunswick;2016A000213;Total community supervision count;Persons;249;units;0;v21536844;5.7;1449.0;;;;1
1978/1979;New Brunswick;2016A000213;Probation, community supervision;Persons;249;units;0;v21536845;5.8;1449.0;;;;1
1978/1979;New Brunswick;2016A000213;Conditional sentence, community supervision;Persons;249;units;0;v21536846;5.9;;..;;;1
1978/1979;New Brunswick;2016A000213;Probation rates per 100,000 adults;Rate;257;units;0;v21536847;5.11;310.65;;;;2
1978/1979;Quebec;2016A000224;Total actual-in count;Persons;249;units;0;v21536848;6.1;2136.0;;;;1
1978/1979;Quebec;2016A000224;Sentenced, actual-in count;Persons;249;units;0;v21536849;6.2;1578.0;;;;1
1978/1979;Quebec;2016A000224;Remand, actual-in count;Persons;249;units;0;v21536850;6.3;552.0;;;;1
1978/1979;Quebec;2016A000224;Other statuses, actual-in count;Persons;249;units;0;v21536851;6.4;6.0;;;;1
1978/1979;Quebec;2016A000224;On-register count;Persons;249;units;0;v21536852;6.5;2400.0;;;;1
1978/1979;Quebec;2016A000224;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536853;6.6;46.94;;;;2
1978/1979;Quebec;2016A000224;Total community supervision count;Persons;249;units;0;v21536854;6.7;4948.0;;;;1
1978/1979;Quebec;2016A000224;Probation, community supervision;Persons;249;units;0;v21536855;6.8;4948.0;;;;1
1978/1979;Quebec;2016A000224;Conditional sentence, community supervision;Persons;249;units;0;v21536856;6.9;;..;;;1
1978/1979;Quebec;2016A000224;Provincial parole, community supervision;Persons;249;units;0;v21536857;6.10;;..;;;1
1978/1979;Quebec;2016A000224;Probation rates per 100,000 adults;Rate;257;units;0;v21536858;6.11;108.74;;;;2
1978/1979;Ontario;2016A000235;Total actual-in count;Persons;249;units;0;v21536859;7.1;5235.0;;;;1
1978/1979;Ontario;2016A000235;Sentenced, actual-in count;Persons;249;units;0;v21536860;7.2;4133.0;;;;1
1978/1979;Ontario;2016A000235;Remand, actual-in count;Persons;249;units;0;v21536861;7.3;1099.0;;;;1
1978/1979;Ontario;2016A000235;Other statuses, actual-in count;Persons;249;units;0;v21536862;7.4;3.0;;;;1
1978/1979;Ontario;2016A000235;On-register count;Persons;249;units;0;v21536863;7.5;;..;;;1
1978/1979;Ontario;2016A000235;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536864;7.6;86.30;;;;2
1978/1979;Ontario;2016A000235;Total community supervision count;Persons;249;units;0;v21536865;7.7;27027.0;;;;1
1978/1979;Ontario;2016A000235;Probation, community supervision;Persons;249;units;0;v21536866;7.8;26362.0;;;;1
1978/1979;Ontario;2016A000235;Conditional sentence, community supervision;Persons;249;units;0;v21536867;7.9;;..;;;1
1978/1979;Ontario;2016A000235;Provincial parole, community supervision;Persons;249;units;0;v21536868;7.10;665.0;;;;1
1978/1979;Ontario;2016A000235;Probation rates per 100,000 adults;Rate;257;units;0;v21536869;7.11;434.57;;;;2
1978/1979;Manitoba;2016A000246;Total actual-in count;Persons;249;units;0;v21536870;8.1;714.0;;;;1
1978/1979;Manitoba;2016A000246;Sentenced, actual-in count;Persons;249;units;0;v21536871;8.2;419.0;;;;1
1978/1979;Manitoba;2016A000246;Remand, actual-in count;Persons;249;units;0;v21536872;8.3;293.0;;;;1
1978/1979;Manitoba;2016A000246;Other statuses, actual-in count;Persons;249;units;0;v21536873;8.4;2.0;;;;1
1978/1979;Manitoba;2016A000246;On-register count;Persons;249;units;0;v21536874;8.5;;..;;;1
1978/1979;Manitoba;2016A000246;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536875;8.6;98.68;;;;2
1978/1979;Manitoba;2016A000246;Total community supervision count;Persons;249;units;0;v21536876;8.7;1688.0;;;;1
1978/1979;Manitoba;2016A000246;Probation, community supervision;Persons;249;units;0;v21536877;8.8;1688.0;;;;1
1978/1979;Manitoba;2016A000246;Conditional sentence, community supervision;Persons;249;units;0;v21536878;8.9;;..;;;1
1978/1979;Manitoba;2016A000246;Probation rates per 100,000 adults;Rate;257;units;0;v21536879;8.11;233.28;;;;2
1978/1979;Saskatchewan;2016A000247;Total actual-in count;Persons;249;units;0;v21536880;9.1;831.0;;;;1
1978/1979;Saskatchewan;2016A000247;Sentenced, actual-in count;Persons;249;units;0;v21536881;9.2;728.0;;;;1
1978/1979;Saskatchewan;2016A000247;Remand, actual-in count;Persons;249;units;0;v21536882;9.3;103.0;;;;1
1978/1979;Saskatchewan;2016A000247;On-register count;Persons;249;units;0;v21536884;9.5;;..;;;1
1978/1979;Saskatchewan;2016A000247;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536885;9.6;128.31;;;;2
1978/1979;Saskatchewan;2016A000247;Total community supervision count;Persons;249;units;0;v21536886;9.7;2248.0;;;;1
1978/1979;Saskatchewan;2016A000247;Probation, community supervision;Persons;249;units;0;v21536887;9.8;2248.0;;;;1
1978/1979;Saskatchewan;2016A000247;Conditional sentence, community supervision;Persons;249;units;0;v21536888;9.9;;..;;;1
1978/1979;Saskatchewan;2016A000247;Probation rates per 100,000 adults;Rate;257;units;0;v21536889;9.11;347.10;;;;2
1978/1979;Alberta;2016A000248;Total actual-in count;Persons;249;units;0;v21536890;10.1;1814.0;;;;1
1978/1979;Alberta;2016A000248;Sentenced, actual-in count;Persons;249;units;0;v21536891;10.2;1344.0;;;;1
1978/1979;Alberta;2016A000248;Remand, actual-in count;Persons;249;units;0;v21536892;10.3;470.0;;;;1
1978/1979;Alberta;2016A000248;On-register count;Persons;249;units;0;v21536894;10.5;;..;;;1
1978/1979;Alberta;2016A000248;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536895;10.6;131.38;;;;2
1978/1979;Alberta;2016A000248;Total community supervision count;Persons;249;units;0;v21536896;10.7;6018.0;;;;1
1978/1979;Alberta;2016A000248;Probation, community supervision;Persons;249;units;0;v21536897;10.8;6018.0;;;;1
1978/1979;Alberta;2016A000248;Conditional sentence, community supervision;Persons;249;units;0;v21536898;10.9;;..;;;1
1978/1979;Alberta;2016A000248;Probation rates per 100,000 adults;Rate;257;units;0;v21536899;10.11;435.87;;;;2
1978/1979;British Columbia;2016A000259;Total actual-in count;Persons;249;units;0;v21536900;11.1;1612.0;;;;1
1978/1979;British Columbia;2016A000259;Sentenced, actual-in count;Persons;249;units;0;v21536901;11.2;1216.0;;;;1
1978/1979;British Columbia;2016A000259;Remand, actual-in count;Persons;249;units;0;v21536902;11.3;396.0;;;;1
1978/1979;British Columbia;2016A000259;Other statuses, actual-in count;Persons;249;units;0;v21536903;11.4;;..;;;1
1978/1979;British Columbia;2016A000259;On-register count;Persons;249;units;0;v21536904;11.5;;..;;;1
1978/1979;British Columbia;2016A000259;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536905;11.6;85.97;;;;2
1978/1979;British Columbia;2016A000259;Total community supervision count;Persons;249;units;0;v21536906;11.7;7515.0;;;;1
1978/1979;British Columbia;2016A000259;Probation, community supervision;Persons;249;units;0;v21536907;11.8;7478.0;;;;1
1978/1979;British Columbia;2016A000259;Conditional sentence, community supervision;Persons;249;units;0;v21536908;11.9;;..;;;1
1978/1979;British Columbia;2016A000259;Provincial parole, community supervision;Persons;249;units;0;v21536909;11.10;37.0;;;;1
1978/1979;British Columbia;2016A000259;Probation rates per 100,000 adults;Rate;257;units;0;v21536910;11.11;398.82;;;;2
1978/1979;Yukon;2016A000260;Total actual-in count;Persons;249;units;0;v21536911;12.1;61.0;;;;1
1978/1979;Yukon;2016A000260;Sentenced, actual-in count;Persons;249;units;0;v21536912;12.2;54.0;;;;1
1978/1979;Yukon;2016A000260;Remand, actual-in count;Persons;249;units;0;v21536913;12.3;7.0;;;;1
1978/1979;Yukon;2016A000260;Other statuses, actual-in count;Persons;249;units;0;v21536914;12.4;;..;;;1
1978/1979;Yukon;2016A000260;On-register count;Persons;249;units;0;v21536915;12.5;;..;;;1
1978/1979;Yukon;2016A000260;Incarceration rates per 100,000 adults;Rate;257;units;0;v21536916;12.6;385.25;;;;2
