REF_DATE;GEO;DGUID;Custodial and community admissions;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2000/2001;Provinces and territories;2016A000011124;Total custodial admissions;Number;223;units;0;v80747819;1.1;201357;;;;0
2000/2001;Provinces and territories;2016A000011124;Sentenced;Number;223;units;0;v80747820;1.2;66069;;;;0
2000/2001;Provinces and territories;2016A000011124;Remand;Number;223;units;0;v80747821;1.3;110387;;;;0
2000/2001;Provinces and territories;2016A000011124;Other custodial statuses;Number;223;units;0;v80747822;1.4;24901;;;;0
2000/2001;Provinces and territories;2016A000011124;Total community admissions;Number;223;units;0;v80747823;1.5;167204;;;;0
2000/2001;Provinces and territories;2016A000011124;Probation and conditional sentences;Number;223;units;0;v80747824;1.6;99023;;;;0
2000/2001;Provinces and territories;2016A000011124;Probation;Number;223;units;0;v80747825;1.7;81939;;;;0
2000/2001;Provinces and territories;2016A000011124;Conditional sentence;Number;223;units;0;v80747826;1.8;17084;;;;0
2000/2001;Provinces and territories;2016A000011124;Other community programs;Number;223;units;0;v80747827;1.9;68181;;;;0
2000/2001;Provinces and territories;2016A000011124;Unknown community admissions;Number;223;units;0;v80747828;1.10;0;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Total custodial admissions;Number;223;units;0;v80747830;2.1;1332;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Sentenced;Number;223;units;0;v80747831;2.2;944;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Remand;Number;223;units;0;v80747832;2.3;388;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Other custodial statuses;Number;223;units;0;v80747833;2.4;;..;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Total community admissions;Number;223;units;0;v80747834;2.5;2536;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Probation and conditional sentences;Number;223;units;0;v80747835;2.6;2225;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Probation;Number;223;units;0;v80747836;2.7;1906;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Conditional sentence;Number;223;units;0;v80747837;2.8;319;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Other community programs;Number;223;units;0;v80747838;2.9;311;;;;0
2000/2001;Newfoundland and Labrador;2016A000210;Unknown community admissions;Number;223;units;0;v80747839;2.10;0;;;;0
2000/2001;Prince Edward Island;2016A000211;Total custodial admissions;Number;223;units;0;v80747841;3.1;762;;;;0
2000/2001;Prince Edward Island;2016A000211;Sentenced;Number;223;units;0;v80747842;3.2;586;;;;0
2000/2001;Prince Edward Island;2016A000211;Remand;Number;223;units;0;v80747843;3.3;176;;;;0
2000/2001;Prince Edward Island;2016A000211;Other custodial statuses;Number;223;units;0;v80747844;3.4;;..;;;0
2000/2001;Prince Edward Island;2016A000211;Total community admissions;Number;223;units;0;v80747845;3.5;729;;;;0
2000/2001;Prince Edward Island;2016A000211;Probation and conditional sentences;Number;223;units;0;v80747846;3.6;573;;;;0
2000/2001;Prince Edward Island;2016A000211;Probation;Number;223;units;0;v80747847;3.7;533;;;;0
2000/2001;Prince Edward Island;2016A000211;Conditional sentence;Number;223;units;0;v80747848;3.8;40;;;;0
2000/2001;Prince Edward Island;2016A000211;Other community programs;Number;223;units;0;v80747849;3.9;156;;;;0
2000/2001;Prince Edward Island;2016A000211;Unknown community admissions;Number;223;units;0;v80747850;3.10;0;;;;0
2000/2001;Nova Scotia;2016A000212;Total custodial admissions;Number;223;units;0;v80747852;4.1;3788;;;;0
2000/2001;Nova Scotia;2016A000212;Sentenced;Number;223;units;0;v80747853;4.2;1624;;;;0
2000/2001;Nova Scotia;2016A000212;Remand;Number;223;units;0;v80747854;4.3;1758;;;;0
2000/2001;Nova Scotia;2016A000212;Other custodial statuses;Number;223;units;0;v80747855;4.4;406;;;;0
2000/2001;Nova Scotia;2016A000212;Total community admissions;Number;223;units;0;v80747856;4.5;7564;;;;0
2000/2001;Nova Scotia;2016A000212;Probation and conditional sentences;Number;223;units;0;v80747857;4.6;4276;;;;0
2000/2001;Nova Scotia;2016A000212;Probation;Number;223;units;0;v80747858;4.7;3653;;;;0
2000/2001;Nova Scotia;2016A000212;Conditional sentence;Number;223;units;0;v80747859;4.8;623;;;;0
2000/2001;Nova Scotia;2016A000212;Other community programs;Number;223;units;0;v80747860;4.9;3288;;;;0
2000/2001;Nova Scotia;2016A000212;Unknown community admissions;Number;223;units;0;v80747861;4.10;0;;;;0
2000/2001;New Brunswick;2016A000213;Total custodial admissions;Number;223;units;0;v80747863;5.1;;..;;;0
2000/2001;New Brunswick;2016A000213;Sentenced;Number;223;units;0;v80747864;5.2;;..;;;0
2000/2001;New Brunswick;2016A000213;Remand;Number;223;units;0;v80747865;5.3;;..;;;0
2000/2001;New Brunswick;2016A000213;Other custodial statuses;Number;223;units;0;v80747866;5.4;;..;;;0
2000/2001;New Brunswick;2016A000213;Total community admissions;Number;223;units;0;v80747867;5.5;3341;;;;0
2000/2001;New Brunswick;2016A000213;Probation and conditional sentences;Number;223;units;0;v80747868;5.6;2415;;;;0
2000/2001;New Brunswick;2016A000213;Probation;Number;223;units;0;v80747869;5.7;1733;;;;0
2000/2001;New Brunswick;2016A000213;Conditional sentence;Number;223;units;0;v80747870;5.8;682;;;;0
2000/2001;New Brunswick;2016A000213;Other community programs;Number;223;units;0;v80747871;5.9;926;;;;0
2000/2001;New Brunswick;2016A000213;Unknown community admissions;Number;223;units;0;v80747872;5.10;0;;;;0
2000/2001;Quebec;2016A000224;Total custodial admissions;Number;223;units;0;v80747874;6.1;43911;;;;0
2000/2001;Quebec;2016A000224;Sentenced;Number;223;units;0;v80747875;6.2;14951;;;;0
2000/2001;Quebec;2016A000224;Remand;Number;223;units;0;v80747876;6.3;26063;;;;0
2000/2001;Quebec;2016A000224;Other custodial statuses;Number;223;units;0;v80747877;6.4;2897;;;;0
2000/2001;Quebec;2016A000224;Total community admissions;Number;223;units;0;v80747878;6.5;18001;;;;0
2000/2001;Quebec;2016A000224;Probation and conditional sentences;Number;223;units;0;v80747879;6.6;11963;;;;0
2000/2001;Quebec;2016A000224;Probation;Number;223;units;0;v80747880;6.7;7704;;;;0
2000/2001;Quebec;2016A000224;Conditional sentence;Number;223;units;0;v80747881;6.8;4259;;;;0
2000/2001;Quebec;2016A000224;Other community programs;Number;223;units;0;v80747882;6.9;6038;;;;0
2000/2001;Quebec;2016A000224;Unknown community admissions;Number;223;units;0;v80747883;6.10;0;;;;0
2000/2001;Ontario;2016A000235;Total custodial admissions;Number;223;units;0;v80747885;7.1;86417;;;;0
2000/2001;Ontario;2016A000235;Sentenced;Number;223;units;0;v80747886;7.2;30999;;;;0
2000/2001;Ontario;2016A000235;Remand;Number;223;units;0;v80747887;7.3;52179;;;;0
2000/2001;Ontario;2016A000235;Other custodial statuses;Number;223;units;0;v80747888;7.4;3239;;;;0
2000/2001;Ontario;2016A000235;Total community admissions;Number;223;units;0;v80747889;7.5;47290;;;;0
2000/2001;Ontario;2016A000235;Probation and conditional sentences;Number;223;units;0;v80747890;7.6;39131;;;;0
2000/2001;Ontario;2016A000235;Probation;Number;223;units;0;v80747891;7.7;34920;;;;0
2000/2001;Ontario;2016A000235;Conditional sentence;Number;223;units;0;v80747892;7.8;4211;;;;0
2000/2001;Ontario;2016A000235;Other community programs;Number;223;units;0;v80747893;7.9;8159;;;;0
2000/2001;Ontario;2016A000235;Unknown community admissions;Number;223;units;0;v80747894;7.10;0;;;;0
2000/2001;Manitoba;2016A000246;Total custodial admissions;Number;223;units;0;v80747896;8.1;14780;;;;0
2000/2001;Manitoba;2016A000246;Sentenced;Number;223;units;0;v80747897;8.2;2901;;;;0
2000/2001;Manitoba;2016A000246;Remand;Number;223;units;0;v80747898;8.3;6955;;;;0
2000/2001;Manitoba;2016A000246;Other custodial statuses;Number;223;units;0;v80747899;8.4;4924;;;;0
2000/2001;Manitoba;2016A000246;Total community admissions;Number;223;units;0;v80747900;8.5;10848;;;;0
2000/2001;Manitoba;2016A000246;Probation and conditional sentences;Number;223;units;0;v80747901;8.6;7516;;;;0
2000/2001;Manitoba;2016A000246;Probation;Number;223;units;0;v80747902;8.7;6811;;;;0
2000/2001;Manitoba;2016A000246;Conditional sentence;Number;223;units;0;v80747903;8.8;705;;;;0
2000/2001;Manitoba;2016A000246;Other community programs;Number;223;units;0;v80747904;8.9;3332;;;;0
2000/2001;Manitoba;2016A000246;Unknown community admissions;Number;223;units;0;v80747905;8.10;0;;;;0
2000/2001;Saskatchewan;2016A000247;Total custodial admissions;Number;223;units;0;v80747907;9.1;12989;;;;0
2000/2001;Saskatchewan;2016A000247;Sentenced;Number;223;units;0;v80747908;9.2;3219;;;;0
2000/2001;Saskatchewan;2016A000247;Remand;Number;223;units;0;v80747909;9.3;9548;;;;0
2000/2001;Saskatchewan;2016A000247;Other custodial statuses;Number;223;units;0;v80747910;9.4;222;;;;0
2000/2001;Saskatchewan;2016A000247;Total community admissions;Number;223;units;0;v80747911;9.5;21000;;;;0
2000/2001;Saskatchewan;2016A000247;Probation and conditional sentences;Number;223;units;0;v80747912;9.6;4822;;;;0
2000/2001;Saskatchewan;2016A000247;Probation;Number;223;units;0;v80747913;9.7;3457;;;;0
2000/2001;Saskatchewan;2016A000247;Conditional sentence;Number;223;units;0;v80747914;9.8;1365;;;;0
2000/2001;Saskatchewan;2016A000247;Other community programs;Number;223;units;0;v80747915;9.9;16178;;;;0
2000/2001;Saskatchewan;2016A000247;Unknown community admissions;Number;223;units;0;v80747916;9.10;0;;;;0
2000/2001;Alberta;2016A000248;Total custodial admissions;Number;223;units;0;v80747918;10.1;;..;;;0
2000/2001;Alberta;2016A000248;Sentenced;Number;223;units;0;v80747919;10.2;;..;;;0
2000/2001;Alberta;2016A000248;Remand;Number;223;units;0;v80747920;10.3;;..;;;0
