region;periode ;Taux de chômage;Taux d'activité;Taux d'emploi
canada ;sept-21;7;65,5;60,9
canada ;août-22;5,4;64,8;61,3
canada ;sept-22;5,2;64,7;61,3
Terre-Neuve-et-Labrador;sept-21;13;57,2;49,8
Terre-Neuve-et-Labrador;août-22;10,5;56,9;50,9
Terre-Neuve-et-Labrador;sept-22;9,5;56,4;51
Île-du-Prince-Édouard;sept-21;13;57,2;49,8
Île-du-Prince-Édouard;août-22;10,5;56,9;50,9
Île-du-Prince-Édouard;sept-22;9,5;56,4;51
Nouvelle-Écosse;sept-21;8,1;61,8;56,8
Nouvelle-Écosse;août-22;7,6;61;56,4
Nouvelle-Écosse;sept-22;6,2;60,5;56,7
Nouveau-Brunswick;sept-21;9,3;61,2;55,5
Nouveau-Brunswick;août-22;7,6;60,1;55,5
Nouveau-Brunswick;sept-22;6,7;59,8;55,8
Québec;sept-21;5,7;64,3;60,6
Québec;août-22;4,5;64;61,1
Québec;sept-22;4,4;63,8;61,1
Ontario;sept-21;7,5;65,6;60,6
Ontario;août-22;5,7;64,9;61,2
Ontario;sept-22;5,8;64,6;60,8
Manitoba;sept-21;5,7;66,7;62,9
Manitoba;août-22;5,3;65,7;62,2
Manitoba;sept-22;4,5;65,8;62,8
Saskatchewan;sept-21;6,4;67,9;63,6
Saskatchewan;août-22;4,9;66,9;63,6
Saskatchewan;sept-22;4,1;65,9;63,2
Alberta;sept-21;8,1;69,7;64,1
Alberta;août-22;5,4;68,8;65,1
Alberta;sept-22;5,5;69;65,2
Colombie-Britannique;sept-21;5,9;65,2;61,4
Colombie-Britannique;août-22;4,8;64,4;61,3
Colombie-Britannique;sept-22;4,3;64,8;62
